AssetName, MemCost.Asset, MemCost.Inst, Tgt MemCost.Asset, Tgt MemCost.Inst
/CRD_Accolades/SetupAssets/PID_CP_Devices_Accolades, 572254, 39200, 572254, 39200
/CRD_Analytic/SetupAssets/PID_CP_Devices_Analytic, 152204, 28000, 152204, 28000
/CRD_ArmoredBattleBusSpawner/SetupAssets/PID_CP_Devices_ArmoredBattleBusSpawner, 22713662, 29987, 22713662, 29987
/CRD_Campfire/SetupAssets/PID_CP_Devices_Campfire, 1600802, 75524, 1600802, 75524
/CRD_Chair/SetupAssets/ID/PID_CP_Devices_Chair, 735623, 35220, 735623, 35220
/CRD_Chair/SetupAssets/Playset/PID_PG_CD_Chairs, 735623, 246540, 735623, 246540
/CRD_ChannelManager/SetupAssets/PID_Creative_TriggerManager, 1935514, 44128, 1935514, 44128
/CRD_Clapboard/SetupAssets/PID_CP_Devices_Clapboard, 290512, 19688, 290512, 19688
/CRD_Crashpad/SetupAssets/PID_CP_Devices_Crashpad, 3875629, 40968, 3875629, 40968
/CRD_DBNO/SetupAssets/PID_Devices_DBNO, 1363867, 42344, 1363867, 42344
/CRD_EmoteController/SetupAssets/PID_CP_Devices_EmoteController, 89006, 28768, 89006, 28768
/CRD_Firefly_Spawner/SetupAssets/PID_FireflySpawner, 2190552, 31792, 2190552, 31792
/CRD_FishingZone/SetupAssets/PID_Device_FishingZone, 15556117, 16593, 15556117, 16593
/CRD_FocusDevice/SetupAssets/ID/PID_CP_Device_CameraFocus, 292607, 30768, 292607, 30768
/CRD_GameEnd/SetupAssets/PID_CP_Devices_EndGame, 1977059, 31152, 1977059, 31152
/CRD_GlobalSaveData/SetupAssets/PID_Devices_GlobalSaveData, 604615, 45460, 604615, 45460
/CRD_GravityGunController/SetupAssets/PID_Device_GravityGunController, 202764, 20192, 202764, 20192
/CRD_HealPowerup/SetupAssets/PID_CP_Devices_HealPowerup, 1367216, 30986, 1367216, 30986
/CRD_HenchmanSpawner/SetupAssets/PID_Device_HenchmanSpawner, 5105616, 131504, 5105616, 131504
/CRD_HoagieSpawner/SetupAssets/PID_Device_Hoagie_Spawner, 16978312, 26015, 16978312, 26015
/CRD_HUDController/SetupAssets/PID_Device_HUDController, 183354, 11280, 183354, 11280
/CRD_ItemRemover/SetupAssets/PID_Devices_ItemRemover, 1661485, 54648, 1661485, 54648
/CRD_LevelInstance/SetupAssets/PID_CP_Devices_LevelInstance, 436570, 17724, 436570, 17724
/CRD_LlamatronV2/SetupAssets/PID_Device_Llamatron, 1300555, 39680, 1300555, 39680
/CRD_Mannequin/SetupAssets/PID_CP_Character_Device_Controller, 568746, 25786, 568746, 25786
/CRD_Mannequin/SetupAssets/PID_CP_Devices_Mannequin, 532648, 68032, 532648, 68032
/CRD_Mannequin/SetupAssets/PID_CP_Devices_MannequinStore, 5250000, 5000000, 5250000, 5000000
/CRD_Melee/SetupAssets/PID_Device_MeleeDesigner, 19483560, 52318, 19483560, 52318
/CRD_Melee/SetupAssets/PID_Device_MeleeModifier, 19443958, 50936, 19443958, 50936
/CRD_ModalDialog/SetupAssets/PID_Device_ModalDialog, 421428, 43624, 421428, 43624
/CRD_MountedAntiVehicleTurret/SetupAssets/PID_CP_Devices_MountedAntiVehicleTurret, 8059507, 36983, 8059507, 36983
/CRD_MountedCannon/SetupAssets/PID_CP_Devices_MountedCannon, 21245230, 36983, 21245230, 36983
/CRD_NevadaSpawner/SetupAssets/PID_Device_Nevada_Spawner, 19725558, 37375, 19725558, 37375
